scenario,run,epoch,total_reward,alpha,beta,r_search,r_wait
12,1,3,3240.0,0.8,0.5,4,2
12,1,4,3269.0,0.8,0.5,4,2
12,1,5,3293.0,0.8,0.5,4,2
12,1,6,3335.0,0.8,0.5,4,2
12,1,7,3262.0,0.8,0.5,4,2
12,1,8,3303.0,0.8,0.5,4,2
12,1,9,3317.0,0.8,0.5,4,2
12,1,10,3328.0,0.8,0.5,4,2
12,2,1,2037.0,0.8,0.5,4,2
12,2,2,2042.0,0.8,0.5,4,2
12,2,3,2028.0,0.8,0.5,4,2
12,2,4,2038.0,0.8,0.5,4,2
12,2,5,3239.0,0.8,0.5,4,2
12,2,6,3280.0,0.8,0.5,4,2
12,2,7,3356.0,0.8,0.5,4,2
12,2,8,3284.0,0.8,0.5,4,2
12,2,9,3328.0,0.8,0.5,4,2
12,2,10,3264.0,0.8,0.5,4,2
13,0,1,2032.0,0.8,0.6,4,2
13,0,2,2038.0,0.8,0.6,4,2
13,0,3,3259.0,0.8,0.6,4,2
13,0,4,3226.0,0.8,0.6,4,2
13,0,5,3226.0,0.8,0.6,4,2
13,0,6,3274.0,0.8,0.6,4,2
13,0,7,3312.0,0.8,0.6,4,2
13,0,8,3315.0,0.8,0.6,4,2
13,0,9,3312.0,0.8,0.6,4,2
13,0,10,3257.0,0.8,0.6,4,2
13,1,1,2024.0,0.8,0.6,4,2
13,1,2,3303.0,0.8,0.6,4,2
13,1,3,3262.0,0.8,0.6,4,2
13,1,4,3322.0,0.8,0.6,4,2
13,1,5,3244.0,0.8,0.6,4,2
13,1,6,3214.0,0.8,0.6,4,2
13,1,7,3293.0,0.8,0.6,4,2
13,1,8,3278.0,0.8,0.6,4,2
13,1,9,3296.0,0.8,0.6,4,2
13,1,10,3266.0,0.8,0.6,4,2
13,2,1,2036.0,0.8,0.6,4,2
13,2,2,3365.0,0.8,0.6,4,2
13,2,3,3317.0,0.8,0.6,4,2
13,2,4,3320.0,0.8,0.6,4,2
13,2,5,3249.0,0.8,0.6,4,2
13,2,6,3316.0,0.8,0.6,4,2
13,2,7,3244.0,0.8,0.6,4,2
13,2,8,3325.0,0.8,0.6,4,2
13,2,9,3291.0,0.8,0.6,4,2
